---STARTING WITH PAIR
Testrun 0

gen	ms	perc	best
16400	70157	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139318.52805092948
16500	70525	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 139318.52805092948
16600	70881	28	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 138969.02031566793
16700	71244	29	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 137528.34805909204
16800	71618	29	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 137528.34805909204
16900	72015	29	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 137528.34805909204
17000	72389	29	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 137528.34805909204
17100	72740	29	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 137528.34805909204
17200	73103	29	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 137528.34805909204
17300	73475	29	[0, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58, 69]... => 136791.6787188731
17400	73826	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58]... => 135591.08206138454
17500	74175	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58]... => 135591.08206138454
17600	74554	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58]... => 135591.08206138454
17700	74899	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58]... => 135591.08206138454
17800	75252	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 129, 40, 33, 52, 58]... => 135591.08206138454
17900	75628	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 135191.38060621996
18000	75974	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 135191.38060621996
18100	76335	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 134650.58814980913
18200	76703	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 134650.58814980913
18300	77047	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 134650.58814980913
18400	77401	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 134650.58814980913
18500	77759	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 134650.58814980913
18600	78109	29	[0, 15, 3, 7, 2, 4, 1, 32, 34, 35, 43, 129, 40, 33, 52]... => 134650.58814980913
18700	78473	29	[0, 3, 7, 126, 26, 124, 18, 15, 2, 4, 1, 32, 34, 35, 43]... => 134155.50696360972
18800	78850	29	[0, 3, 7, 126, 26, 124, 18, 15, 2, 4, 1, 32, 34, 35, 43]... => 134155.50696360972
18900	79209	29	[0, 3, 7, 126, 26, 124, 18, 15, 2, 4, 1, 32, 34, 35, 43]... => 134155.50696360972
19000	79583	29	[0, 3, 7, 126, 26, 124, 18, 15, 2, 4, 1, 32, 34, 35, 43]... => 134035.30617093985
19100	79948	29	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 32, 34, 35]... => 133886.68368928443
19200	80290	29	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 32, 34, 35]... => 133886.68368928443
19300	80648	29	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 32, 34, 35]... => 133886.68368928443
19400	81021	29	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 32, 34, 35]... => 133886.68368928443
19500	81380	29	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 32, 34, 35]... => 133886.68368928443
19600	81739	29	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 32, 34, 35]... => 133694.06259074074
19700	82096	30	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 19, 16, 6]... => 133500.25008714173
19800	82470	30	[0, 3, 7, 126, 26, 124, 18, 15, 53, 2, 4, 1, 19, 16, 6]... => 133500.25008714173
19900	82836	30	[0, 3, 7, 126, 26, 109, 160, 195, 181, 124, 18, 15, 53, 2, 4]... => 133413.48918504338
20000	83192	30	[0, 6, 3, 7, 126, 26, 109, 160, 195, 181, 124, 18, 15, 53, 2]... => 132959.537279291

Median Time/Generation:	3.7
---FINISHED!
generations,population,avgPercentage
20000,1000,0.0
